Tc_full-no_duplicates,Tc_full
1712,2911
1713,2912
1714,2913
1715,2914
1716,2915
1717,2916
1718,2917
1719,2918
1720,2919
1721,2920
1722,2921
1723,2922
1724,2923
1725,2924
1726,2925
1727,2926
1728,2927
1729,2928
1730,2929
1731,2930
1732,2931
1733,2932
1734,2933
1735,2934
1736,2935
1737,2936
1738,2937
1739,2938
1740,2939
1741,2940
1742,2941
1743,2942
1744,2943
1745,2944
1746,2945
1747,2946
1748,2947
1749,2948
1750,2949
1751,2950
1752,2951
1753,2952
1754,2953
1755,2954
1756,2955
1757,2956
1758,2957
1759,2958
1760,2959
1761,2960
1762,2961
1763,2962
1764,2963
1765,2964
1766,2965
1767,2966
1768,2967
1769,2968
1770,2969
1771,2970
1772,2971
1773,2972
1774,2973
1775,2974
1776,2975
1777,2976
1778,2977
1779,2978
1780,2979
1781,2980
1782,2981
1783,2982
1784,2983
1785,2984
1786,2985
1787,2986
1788,2987
1789,2988
1790,2989
1791,2990
1792,2991
1793,2992
1794,2993
1795,2994
1796,2995
1797,2996
1798,2997
1799,2998
1800,2999
1801,3000
1802,3001
1803,3002
1804,3003
1805,3004
1806,3005
1807,3006
1808,3007
1809,3008
1810,3009
1811,3010
1812,3011
1813,3012
1814,3013
1815,3014
1816,3015
1817,3016
1818,3017
1819,3018
1820,3019
1821,3020
1822,3021
1823,3022
1824,3023
1825,3024
1826,3025
1827,3026
1828,3027
1829,3028
1830,3029
1831,3030
1832,3031
1833,3032
1834,3033
1835,3034
1836,3035
1837,3036
1838,3037
1839,3038
1840,3039
1841,3040
1842,3041
1843,3042
1844,3043
1845,3044
1846,3045
1847,3046
1848,3047
1849,3048
1850,3049
1851,3050
1852,3051
1853,3052
1854,3053
1855,3054
1856,3055
1857,3056
1858,3057
1859,3058
1860,3059
1861,3060
1862,3061
1863,3062
1864,3063
1865,3064
1866,3065
1867,3066
1868,3067
1869,3068
1870,3069
1871,3070
1872,3071
1873,3072
1874,3073
1875,3074
1876,3075
1877,3076
1878,3077
1879,3078
1880,3079
1881,3080
1882,3081
1883,3082
1884,3083
1885,3084
1886,3085
1887,3086
1888,3087
1889,3088
1890,3089
1891,3090
1892,3091
1893,3092
1894,3093
1895,3094
1896,3095
1897,3096
1898,3097
1899,3098
1900,3099
1901,3100
1902,3101
1903,3102
1904,3103
1905,3104
1906,3105
1907,3106
1908,3107
1909,3108
1910,3109
1911,3110
1912,3111
1913,3112
1914,3113
1915,3114
1916,3115
1917,3116
1918,3117
1919,3118
1920,3119
1921,3120
1922,3121
1923,3122
1924,3123
1925,3124
1926,3125
1927,3126
1928,3127
1929,3128
1930,3129
1931,3130
1932,3131
1933,3132
1934,3133
1935,3134
1936,3135
1937,3136
1938,3137
1939,3138
1940,3139
1941,3140
1942,3141
1943,3142
1944,3143
1945,3144
1946,3145
1947,3146
1948,3147
1949,3148
1950,3149
1951,3150
1952,3151
1953,3152
1954,3153
1955,3154
1956,3155
1957,3156
1958,3157
1959,3158
1960,3159
1961,3160
1962,3161
1963,3162
1964,3163
1965,3164
1966,3165
